646643272	20170414	201704	2017	2017.2849	CAN	CANADIAN	CAN								USA	NEW YORK	USA								1	081	081	08	2	5.0	4	1	4	2.71186440677966	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	2	New York, United States	US	USNY	42.1497	-74.9384	NY	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	20170414	http://blog.sfgate.com/smellthetruth/2017/04/13/canada-introduces-bill-to-legalize-recreational-marijuana/
646643273	20170414	201704	2017	2017.2849	CAN	CANADA	CAN								USA	AMERICAN	USA								1	130	130	13	3	-4.4	20	6	20	-4.72645273260171	1	Canada	CA	CA	60	-95	CA	3	Chicago, Illinois, United States	US	USIL	41.85	-87.6501	423587	1	Canada	CA	CA	60	-95	CA	20170414	http://www.thenewstribune.com/news/business/article144471869.html
646643280	20170414	201704	2017	2017.2849	CANGOV	CANADIAN	CAN					GOV													1	081	081	08	2	5.0	3	1	3	0.81566068515498	2	Oregon, United States	US	USOR	44.5672	-122.127	OR	0							4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	20170414	http://www.phoenixnewtimes.com/news/toke-up-eh-canada-poised-for-historic-marijuana-legalization-law-9244223
646643284	20170414	201704	2017	2017.2849	CANGOV	CANADIAN	CAN					GOV			USA	NEW YORK	USA								1	081	081	08	2	5.0	3	1	3	2.71186440677966	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	2	New York, United States	US	USNY	42.1497	-74.9384	NY	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	20170414	http://blog.sfgate.com/smellthetruth/2017/04/13/canada-introduces-bill-to-legalize-recreational-marijuana/
646643292	20170414	201704	2017	2017.2849	CHN	CHINA	CHN																		1	010	010	01	1	0.0	6	2	6	0.080263785847545	1	United States	US	US	38	-97	US	0							1	China	CH	CH	35	105	CH	20170414	https://www.fairobserver.com/region/north_america/donald-trump-inauguration-foreign-policy-news-35403/
646643304	20170414	201704	2017	2017.2849	CHN	CANTON	CHN								CHNGOV	CHINA	CHN					GOV			1	014	014	01	1	0.0	4	2	4	-2.57342571586241	1	China	CH	CH	35	105	CH	1	China	CH	CH	35	105	CH	3	Cleveland, Ohio, United States	US	USOH	41.4995	-81.6954	1066654	20170414	http://www.cantonrep.com/news/20170413/brown-discusses-starks-infrastructure-needs
646643315	20170414	201704	2017	2017.2849	CHN	CANTON	CHN								GOV	PRESIDENT						GOV			1	014	014	01	1	0.0	12	2	12	-2.57342571586241	1	China	CH	CH	35	105	CH	1	China	CH	CH	35	105	CH	3	Cleveland, Ohio, United States	US	USOH	41.4995	-81.6954	1066654	20170414	http://www.cantonrep.com/news/20170413/brown-discusses-starks-infrastructure-needs
646643318	20170414	201704	2017	2017.2849	CHN	CANTON	CHN								GOV	PRESIDENT						GOV			1	020	020	02	1	3.0	2	1	2	-2.59365994236311	2	Ohio, United States	US	USOH	40.3736	-82.7755	OH	2	Ohio, United States	US	USOH	40.3736	-82.7755	OH	1	China	CH	CH	35	105	CH	20170414	http://www.cantonrep.com/news/20170413/brown-discusses-starks-infrastructure-needs
646643338	20170414	201704	2017	2017.2849	CHN	CHINESE	CHN								PRK	NORTH KOREA	PRK								0	030	030	03	1	4.0	2	1	2	-2.28728270814272	1	Japan	JA	JA	36	138	JA	2	Florida, United States	US	USFL	27.8333	-81.717	FL	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20170414	https://www.wsj.com/articles/u-s-braces-for-next-provocation-from-north-korea-1492126526
646643342	20170414	201704	2017	2017.2849	CHN	CHINA	CHN								PRK	NORTH KOREA	PRK								0	051	051	05	1	3.4	1	1	1	-2.28728270814272	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	2	Florida, United States	US	USFL	27.8333	-81.717	FL	4	Pyongyang, P'yongyang-si, North Korea	KN	KN12	39.0194	125.755	-183459	20170414	https://www.wsj.com/articles/u-s-braces-for-next-provocation-from-north-korea-1492126526
646643356	20170414	201704	2017	2017.2849	CHN	CANTON	CHN								USA	UNITED STATES	USA								0	013	013	01	1	0.4	5	2	5	-2.57342571586241	1	China	CH	CH	35	105	CH	3	Cleveland, Ohio, United States	US	USOH	41.4995	-81.6954	1066654	3	Cleveland, Ohio, United States	US	USOH	41.4995	-81.6954	1066654	20170414	http://www.cantonrep.com/news/20170413/brown-discusses-starks-infrastructure-needs
646643358	20170414	201704	2017	2017.2849	CHN	CHINESE	CHN								USA	UNITED STATES	USA								0	040	040	04	1	1.0	2	1	2	0.87719298245614	1	China	CH	CH	35	105	CH	3	Palm Beach, Florida, United States	US	USFL	26.7056	-80.0364	288390	1	China	CH	CH	35	105	CH	20170414	http://www.orlandosentinel.com/news/fl-pn-trump-easter-arrival-20170413-story.html
646643418	20170414	201704	2017	2017.2849	COP	SECURITY OFFICER						COP													1	036	036	03	1	4.0	8	4	8	-4.212426658643	3	Chicago, Illinois, United States	US	USIL	41.85	-87.6501	423587	0							1	Canada	CA	CA	60	-95	CA	20170414	http://www.thenewstribune.com/news/business/article144471869.html
646643525	20170414	201704	2017	2017.2849	COP	BORDER PATROL AGENT						COP			MEX	MEXICO	MEX								1	190	190	19	4	-10.0	8	4	8	-8.631676337412	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Sinaloa, Tabasco, Mexico	MX	MX27	18.4917	-93.75	6226960	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170414	http://www.997wtn.com/news/man-arrested-in-2010-killing-of-border-patrol-agent-dhs-says/
646643623	20170414	201704	2017	2017.2849	CRM	CRIMINAL						CRM			MED	WEB SITE						MED			0	042	042	04	1	1.9	6	2	6	-1.4689114646999	2	Indiana, United States	US	USIN	39.8647	-86.2604	IN	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	2	Indiana, United States	US	USIN	39.8647	-86.2604	IN	20170414	http://www.foxnews.com/politics/2017/04/13/wills-story-where-opioid-abuse-and-dark-web-intersect.html
646643624	20170414	201704	2017	2017.2849	CRM	CARTEL						CRM			MEX	MEXICO	MEX								1	150	150	15	4	-7.2	8	4	8	-8.631676337412	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Sinaloa, Tabasco, Mexico	MX	MX27	18.4917	-93.75	6226960	4	Sinaloa, Tabasco, Mexico	MX	MX27	18.4917	-93.75	6226960	20170414	http://www.997wtn.com/news/man-arrested-in-2010-killing-of-border-patrol-agent-dhs-says/
646644043	20170414	201704	2017	2017.2849	EUR	EUROPEAN	EUR								SPY	INTELLIGENCE						SPY			0	090	090	09	2	-2.0	4	1	4	-1.23456790123457	1	United Kingdom	UK	UK	54	-2	UK	2	Kansas, United States	US	USKS	38.5111	-96.8005	KS	1	United Kingdom	UK	UK	54	-2	UK	20170414	http://foreignpolicy.com/2017/04/13/pompeo-speech-cia-wikileaks/
646644107	20170414	201704	2017	2017.2849	GBR	UNITED KINGDOM	GBR																		1	1822	182	18	4	-9.0	5	5	5	-1.70854271356784	4	Northern England, Northumberland, United Kingdom	UK	UKJ6	54.9167	-2.33333	-2604273	0							2	Massachusetts, United States	US	USMA	42.2373	-71.5314	MA	20170414	http://wcsufm.org/post/quiet-passion-dazzles-gradually
646644143	20170414	201704	2017	2017.2849	GBR	UNITED KINGDOM	GBR								MED	PUBLICATION						MED			0	143	143	14	3	-6.5	12	6	12	-1.61444336394397	4	Northern England, Northumberland, United Kingdom	UK	UKJ6	54.9167	-2.33333	-2604273	2	Mississippi, United States	US	USMS	32.7673	-89.6812	MS	4	Northern England, Northumberland, United Kingdom	UK	UKJ6	54.9167	-2.33333	-2604273	20170414	http://wcsufm.org/post/quiet-passion-dazzles-gradually
646644146	20170414	201704	2017	2017.2849	GBR	LONDON	GBR								PRK	NORTH KOREA	PRK								1	130	130	13	3	-4.4	4	1	4	-3.82165605095542	2	Florida, United States	US	USFL	27.8333	-81.717	FL	1	China	CH	CH	35	105	CH	1	China	CH	CH	35	105	CH	20170414	http://www.thisislocallondon.co.uk/news/national/15224584.Donald_Trump_warns____problem____of_North_Korea____will_be_taken_care_of___/
646644147	20170414	201704	2017	2017.2849	GBR	LONDON	GBR								PRK	NORTH KOREA	PRK								1	130	130	13	3	-4.4	2	1	2	-3.82165605095542	2	Florida, United States	US	USFL	27.8333	-81.717	FL	1	North Korea	KN	KN	40	127	KN	1	China	CH	CH	35	105	CH	20170414	http://www.thisislocallondon.co.uk/news/national/15224584.Donald_Trump_warns____problem____of_North_Korea____will_be_taken_care_of___/
646644163	20170414	201704	2017	2017.2849	GBR	UNITED KINGDOM	GBR								USAMED	UNITED STATES	USA					MED			0	143	143	14	3	-6.5	12	6	12	-1.61444336394397	4	Northern England, Northumberland, United Kingdom	UK	UKJ6	54.9167	-2.33333	-2604273	2	Mississippi, United States	US	USMS	32.7673	-89.6812	MS	4	Northern England, Northumberland, United Kingdom	UK	UKJ6	54.9167	-2.33333	-2604273	20170414	http://wcsufm.org/post/quiet-passion-dazzles-gradually
646644165	20170414	201704	2017	2017.2849	GBR	UNITED KINGDOM	GBR								chr	CHEROKEE			chr						0	050	050	05	1	3.5	1	1	1	-2.17917675544794	4	Compton, Somerset, United Kingdom	UK	UKM3	51.0931	-2.73056	-2593117	2	New York, United States	US	USNY	42.1497	-74.9384	NY	4	Compton, Somerset, United Kingdom	UK	UKM3	51.0931	-2.73056	-2593117	20170414	http://www.dailymail.co.uk/tvshowbiz/article-4410746/The-Sense-Ending-snooze-fest-says-BRIAN-VINER.html
646644585	20170414	201704	2017	2017.2849	GOV	GOVERNMENT						GOV			USA	UNITED STATES	USA								0	110	110	11	3	-2.0	2	1	2	-2.79971284996411	4	Glasgow, Glasgow City, United Kingdom	UK	UKV2	55.8333	-4.25	-2597039	1	United States	US	US	38	-97	US	4	Moscow, Moskva, Russia	RS	RS48	55.7522	37.6156	-2960561	20170414	http://morningstaronline.co.uk/a-70fb-The-forbidden-red-flag-of-rebellion-flew-over-Neva
646644631	20170414	201704	2017	2017.2849	GOVMIL	NATIONAL SECURITY ADVISER						GOV	MIL		USA	UNITED STATES	USA								1	012	012	01	1	-0.4	46	14	46	0.383532090965864	1	United Kingdom	UK	UK	54	-2	UK	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170414	http://www.clickondetroit.com/news/politics/sources-uk-passed-trump-campaign-intelligence-to-us
