638282965	20170319	201703	2017	2017.2164	COP	DETECTIVE						COP			GBRCRM	BRITISH	GBR					CRM			1	090	090	09	2	-2.0	3	1	3	-5.76923076923077	1	United States	US	US	38	-97	US	4	Heathrow, Hillingdon, United Kingdom	UK	UKF9	51.4667	-0.45	-2598406	1	United States	US	US	38	-97	US	20170319	http://usa.onlinenigeria.com/news/176094-police-hunt-for-7million-snatched-during-airport-heist.html
638282967	20170319	201703	2017	2017.2164	COP	DETECTIVE						COP			GBRCRM	BRITISH	GBR					CRM			1	1712	171	17	4	-9.2	6	1	6	-5.76923076923077	1	United States	US	US	38	-97	US	4	Heathrow, Hillingdon, United Kingdom	UK	UKF9	51.4667	-0.45	-2598406	4	Heathrow, Hillingdon, United Kingdom	UK	UKF9	51.4667	-0.45	-2598406	20170319	http://usa.onlinenigeria.com/news/176094-police-hunt-for-7million-snatched-during-airport-heist.html
638282969	20170319	201703	2017	2017.2164	COP	DETECTIVE						COP			GBRCRM	BRITISH	GBR					CRM			1	190	190	19	4	-10.0	6	1	6	-5.76923076923077	1	United States	US	US	38	-97	US	4	Heathrow, Hillingdon, United Kingdom	UK	UKF9	51.4667	-0.45	-2598406	4	Heathrow, Hillingdon, United Kingdom	UK	UKF9	51.4667	-0.45	-2598406	20170319	http://usa.onlinenigeria.com/news/176094-police-hunt-for-7million-snatched-during-airport-heist.html
638283436	20170319	201703	2017	2017.2164	GBR	UNITED KINGDOM	GBR								GBRSPY	UNITED KINGDOM	GBR					SPY			1	112	112	11	3	-2.0	2	1	2	-2.80373831775701	1	United Kingdom	UK	UK	54	-2	UK	1	United Kingdom	UK	UK	54	-2	UK	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170319	http://180dfo.com/2017/03/u-s-apologizes-for-claiming-uk-intelligence-agency-helped-spy-on-trump-the-president-blamed-fox-news/
638283454	20170319	201703	2017	2017.2164	GBR	BRITISH	GBR								USA	AMERICAN	USA								1	040	040	04	1	1.0	96	5	96	0.329160829747359	1	United Kingdom	UK	UK	54	-2	UK	1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	20170319	http://www.heraldsun.com.au/entertainment/movies/mark-hamill-shares-the-first-ever-photo-of-luke-skywalker/news-story/8eb926b67c5aa222e41284ed6551d56a?nk=898678d434896a57caee41a3bbcd9217-1489880802
638283456	20170319	201703	2017	2017.2164	GBR	UNITED KINGDOM	GBR								USA	UNITED STATES	USA								1	090	090	09	2	-2.0	7	3	7	-2.62408243697972	1	United Kingdom	UK	UK	54	-2	UK	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170319	http://180dfo.com/2017/03/u-s-apologizes-for-claiming-uk-intelligence-agency-helped-spy-on-trump-the-president-blamed-fox-news/
638283457	20170319	201703	2017	2017.2164	GBR	UNITED KINGDOM	GBR								USA	UNITED STATES	USA								1	090	090	09	2	-2.0	1	1	1	-2.80373831775701	1	United Kingdom	UK	UK	54	-2	UK	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	United Kingdom	UK	UK	54	-2	UK	20170319	http://180dfo.com/2017/03/u-s-apologizes-for-claiming-uk-intelligence-agency-helped-spy-on-trump-the-president-blamed-fox-news/
638283459	20170319	201703	2017	2017.2164	GBR	BRITISH	GBR								USA	UNITED STATES	USA								0	114	114	11	3	-2.0	8	8	8	-3.87443332959077	1	United Kingdom	UK	UK	54	-2	UK	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170319	http://usa.onlinenigeria.com/news/176085-trump-should-say-sorry-to-obama-for-his-wiretap-claims.html
638283460	20170319	201703	2017	2017.2164	GBR	UNITED KINGDOM	GBR								USA	UNITED STATES	USA								0	114	114	11	3	-2.0	32	8	32	-3.87443332959077	1	United Kingdom	UK	UK	54	-2	UK	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	United Kingdom	UK	UK	54	-2	UK	20170319	http://usa.onlinenigeria.com/news/176085-trump-should-say-sorry-to-obama-for-his-wiretap-claims.html
638283462	20170319	201703	2017	2017.2164	GBRCOP	UNITED KINGDOM	GBR					COP			USAMED	REUTERS	USA					MED			0	013	013	01	1	0.4	1	1	1	-3.17052270779777	1	United Kingdom	UK	UK	54	-2	UK	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170319	http://usa.onlinenigeria.com/news/176085-trump-should-say-sorry-to-obama-for-his-wiretap-claims.html
638283519	20170319	201703	2017	2017.2164	GOV	GOVERNMENT						GOV													0	020	020	02	1	3.0	590	94	590	-1.64879783013538	3	San Diego, California, United States	US	USCA	32.7153	-117.157	1661377	0							1	Mexico	MX	MX	23	-102	MX	20170319	http://wnyt.com/politics/trump-wants-to-build-30-foot-high-wall-at-mexican-border/4429616/?cat=10621
638283736	20170319	201703	2017	2017.2164	GOV	PRIME MINISTER						GOV			USA	NEW YORK	USA								1	043	043	04	1	2.8	39	12	39	1.13887353605417	1	Canada	CA	CA	60	-95	CA	2	New York, United States	US	USNY	42.1497	-74.9384	NY	1	Canada	CA	CA	60	-95	CA	20170319	http://www.courant.com/nation-world/ct-trump-white-house-infighting-20170318-story.html
638283746	20170319	201703	2017	2017.2164	GOV	PRESIDENT						GOV			USAGOV	OBAMA	USA					GOV			1	112	112	11	3	-2.0	2	1	2	-3.17052270779777	3	Trump Tower, New York, United States	US	USNY	40.7625	-73.9744	2083283	1	United Kingdom	UK	UK	54	-2	UK	1	United Kingdom	UK	UK	54	-2	UK	20170319	http://usa.onlinenigeria.com/news/176085-trump-should-say-sorry-to-obama-for-his-wiretap-claims.html
638284542	20170319	201703	2017	2017.2164	PRK	NORTH KOREA	PRK								CHNGOV	CHINA	CHN					GOV			0	040	040	04	1	1.0	2	1	2	-5.66037735849056	4	Pyongyang, P'yongyang-si, North Korea	KN	KN12	39.0194	125.755	-183459	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170319	http://www.worldbulletin.net/news/186478/tillerson-rejects-nuclear-talks-with-north-korea
638284910	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA																		1	090	090	09	2	-2.0	7	7	7	-0.67415730337079	3	Chicago, Illinois, United States	US	USIL	41.85	-87.6501	423587	0							1	United Kingdom	UK	UK	54	-2	UK	20170319	http://www.couriermail.com.au/news/breaking-news/rock-n-roll-pioneer-chuck-berry-dies/news-story/2ce45e3d27003fcf92ab85175a11faf9?nk=81cb4137df3b2a0b13e005988527f409-1489880814
638284929	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA																		0	122	122	12	3	-4.0	16	12	16	-0.00965395468518062	3	Honolulu, Hawaii, United States	US	USHI	21.3069	-157.858	366212	0							1	Mexico	MX	MX	23	-102	MX	20170319	http://news10.com/2017/03/18/young-americans-most-see-trump-as-illegitimate-president/
638284980	20170319	201703	2017	2017.2164	USA	NEW YORK	USA								CAN	CANADA	CAN								1	042	042	04	1	1.9	17	12	17	1.13887353605417	2	New York, United States	US	USNY	42.1497	-74.9384	NY	1	Canada	CA	CA	60	-95	CA	1	Canada	CA	CA	60	-95	CA	20170319	http://www.courant.com/nation-world/ct-trump-white-house-infighting-20170318-story.html
638284981	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA								CAN	CANADA	CAN								1	173	173	17	4	-5.0	1	1	1	-1.35440180586908	3	Hoboken, New Jersey, United States	US	USNJ	40.744	-74.0324	877147	1	Canada	CA	CA	60	-95	CA	1	Canada	CA	CA	60	-95	CA	20170319	http://www.dailymail.co.uk/tvshowbiz/article-4327718/Judd-Apatow-never-Artie-Lange.html
638284983	20170319	201703	2017	2017.2164	USA	NEW JERSEY	USA								CAN	CANADA	CAN								1	173	173	17	4	-5.0	1	1	1	-1.35440180586908	2	New Jersey, United States	US	USNJ	40.314	-74.5089	NJ	1	Canada	CA	CA	60	-95	CA	1	Canada	CA	CA	60	-95	CA	20170319	http://www.dailymail.co.uk/tvshowbiz/article-4327718/Judd-Apatow-never-Artie-Lange.html
638284985	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA								CANUAF	CANADA	CAN					UAF			0	172	172	17	4	-5.0	2	1	2	-3.76044568245126	2	Hawaii, United States	US	USHI	21.1098	-157.531	HI	4	Quebec, Quebec, Canada	CA	CA10	47.5	-72	-571850	2	Hawaii, United States	US	USHI	21.1098	-157.531	HI	20170319	http://news.wabe.org/post/it-s-unimaginable-feeling-unwelcome-country-i-was-born
638284989	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA								CHN	CHINA	CHN								0	190	190	19	4	-10.0	2	1	2	-5.66037735849056	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170319	http://www.worldbulletin.net/news/186478/tillerson-rejects-nuclear-talks-with-north-korea
638284990	20170319	201703	2017	2017.2164	USA	WASHINGTON	USA								CHN	BEIJING	CHN								0	190	190	19	4	-10.0	7	2	7	-2.56563841469502	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170319	http://www.worldbulletin.net/news/186478/tillerson-rejects-nuclear-talks-with-north-korea
638285068	20170319	201703	2017	2017.2164	USA	AMERICAN	USA								GBR	BRITISH	GBR								1	040	040	04	1	1.0	96	5	96	0.329160829747359	1	United States	US	US	38	-97	US	1	United Kingdom	UK	UK	54	-2	UK	1	United States	US	US	38	-97	US	20170319	http://www.heraldsun.com.au/entertainment/movies/mark-hamill-shares-the-first-ever-photo-of-luke-skywalker/news-story/8eb926b67c5aa222e41284ed6551d56a?nk=898678d434896a57caee41a3bbcd9217-1489880802
638285070	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA								GBRSPY	UNITED KINGDOM	GBR					SPY			1	112	112	11	3	-2.0	12	6	12	-0.287142010019585	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	United Kingdom	UK	UK	54	-2	UK	1	United Kingdom	UK	UK	54	-2	UK	20170319	http://www.courant.com/nation-world/ct-trump-g20-meeting-20170318-story.html
638285074	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA								GOV	PRESIDENT						GOV			0	020	020	02	1	3.0	4	1	4	-3.17052270779777	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	United Kingdom	UK	UK	54	-2	UK	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170319	http://usa.onlinenigeria.com/news/176085-trump-should-say-sorry-to-obama-for-his-wiretap-claims.html
638285082	20170319	201703	2017	2017.2164	USA	NEW YORK	USA								GOV	PRIME MINISTER						GOV			1	042	042	04	1	1.9	33	11	33	1.14507717899109	2	New York, United States	US	USNY	42.1497	-74.9384	NY	1	Canada	CA	CA	60	-95	CA	1	Canada	CA	CA	60	-95	CA	20170319	http://www.courant.com/nation-world/ct-trump-white-house-infighting-20170318-story.html
638285144	20170319	201703	2017	2017.2164	USA	THE US	USA								SPY	INTELLIGENCE						SPY			0	090	090	09	2	-2.0	1	1	1	-3.17052270779777	1	United Kingdom	UK	UK	54	-2	UK	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170319	http://usa.onlinenigeria.com/news/176085-trump-should-say-sorry-to-obama-for-his-wiretap-claims.html
638285201	20170319	201703	2017	2017.2164	USAGOV	INTERNAL REVENUE SERVICE	USA					GOV			COP	PRISON						COP			0	173	173	17	4	-5.0	28	7	28	-0.67415730337079	1	United Kingdom	UK	UK	54	-2	UK	3	Chicago, Illinois, United States	US	USIL	41.85	-87.6501	423587	3	Chicago, Illinois, United States	US	USIL	41.85	-87.6501	423587	20170319	http://www.couriermail.com.au/news/breaking-news/rock-n-roll-pioneer-chuck-berry-dies/news-story/2ce45e3d27003fcf92ab85175a11faf9?nk=81cb4137df3b2a0b13e005988527f409-1489880814
638285209	20170319	201703	2017	2017.2164	USAGOV	THE WHITE HOUSE	USA					GOV			GBR	BRITISH	GBR								0	112	112	11	3	-2.0	5	5	5	-2.97571096889515	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	United Kingdom	UK	UK	54	-2	UK	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170319	http://www.courant.com/nation-world/ct-trump-g20-meeting-20170318-story.html
638285210	20170319	201703	2017	2017.2164	USAGOV	THE WHITE HOUSE	USA					GOV			GBR	BRITISH	GBR								0	112	112	11	3	-2.0	5	5	5	-0.134486378410058	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	United Kingdom	UK	UK	54	-2	UK	1	United Kingdom	UK	UK	54	-2	UK	20170319	http://www.courant.com/nation-world/ct-trump-g20-meeting-20170318-story.html
638285212	20170319	201703	2017	2017.2164	USAGOV	THE WHITE HOUSE	USA					GOV			GBRSPY	BRITISH	GBR					SPY			1	112	112	11	3	-2.0	9	6	9	-0.287142010019585	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	United Kingdom	UK	UK	54	-2	UK	1	United Kingdom	UK	UK	54	-2	UK	20170319	http://www.courant.com/nation-world/ct-trump-g20-meeting-20170318-story.html
638285238	20170319	201703	2017	2017.2164	USAGOVBUS	NEW YORK	USA					GOV	BUS		EDU	STUDENT						EDU			1	071	071	07	2	7.4	8	2	8	0.23474178403756	4	Quebec, Quebec, Canada	CA	CA10	47.5	-72	-571850	2	California, United States	US	USCA	36.17	-119.746	CA	2	California, United States	US	USCA	36.17	-119.746	CA	20170319	http://www.greenwichtime.com/technology/businessinsider/article/If-you-re-living-in-the-US-it-may-be-cheaper-to-11011831.php
638285353	20160319	201603	2016	2016.2164											USA	NEW YORK CITY	USA								0	042	042	04	1	1.9	6	2	6	1.09976501485936	0							2	New York, United States	US	USNY	42.1497	-74.9384	NY	4	Port Colborne, Ontario, Canada	CA	CA08	42.8833	-79.2333	-571567	20170319	http://www.wellandtribune.ca/2017/03/18/giving-nyc-kids-a-taste-of-niagara
638285373	20160319	201603	2016	2016.2164	USA	NEW YORK CITY	USA																		0	043	043	04	1	2.8	6	2	6	1.09976501485936	2	New York, United States	US	USNY	42.1497	-74.9384	NY	0							4	Port Colborne, Ontario, Canada	CA	CA08	42.8833	-79.2333	-571567	20170319	http://www.wellandtribune.ca/2017/03/18/giving-nyc-kids-a-taste-of-niagara
638285426	20170319	201703	2017	2017.2164											BUS	INDUSTRY						BUS			0	043	043	04	1	2.8	144	1	144	2.88461538461538	0							2	New York, United States	US	USNY	42.1497	-74.9384	NY	4	Peking, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20170319	http://my.tvguide.co.uk/channellisting.asp?ch=596&cTime=3/19/2017&thisTime=&thisDay=
638285688	20170319	201703	2017	2017.2164	BUS	COMPANIES						BUS													0	010	010	01	1	0.0	1	1	1	1.62368672397326	2	Illinois, United States	US	USIL	40.3363	-89.0022	IL	0							1	China	CH	CH	35	105	CH	20170319	http://english.sina.com/news/2017-03-19/detail-ifycnpvh4922586.shtml
638285696	20170319	201703	2017	2017.2164	BUS	INDUSTRY						BUS													0	042	042	04	1	1.9	144	1	144	2.88461538461538	2	New York, United States	US	USNY	42.1497	-74.9384	NY	0							4	Peking, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20170319	http://my.tvguide.co.uk/channellisting.asp?ch=596&cTime=3/19/2017&thisTime=&thisDay=
638285770	20170319	201703	2017	2017.2164	CHN	CHINESE	CHN								USA	UNITED STATES	USA								0	012	012	01	1	-0.4	2	1	2	-1.84237461617196	1	China	CH	CH	35	105	CH	3	San Francisco, California, United States	US	USCA	37.7749	-122.419	277593	1	China	CH	CH	35	105	CH	20170319	https://americanfreepress.net/trump-needs-to-jettison-iran-hawks-circling-white-house/
638285788	20170319	201703	2017	2017.2164	CHNLEG	CHINESE	CHN					LEG			CHN	CHINESE	CHN								0	010	010	01	1	0.0	4	1	4	-1.84237461617196	1	China	CH	CH	35	105	CH	1	China	CH	CH	35	105	CH	3	San Francisco, California, United States	US	USCA	37.7749	-122.419	277593	20170319	https://americanfreepress.net/trump-needs-to-jettison-iran-hawks-circling-white-house/
638285791	20170319	201703	2017	2017.2164	CHNLEG	CHINA	CHN					LEG			CHN	CHINESE	CHN								0	013	013	01	1	0.4	2	1	2	-1.84237461617196	1	China	CH	CH	35	105	CH	1	China	CH	CH	35	105	CH	3	San Francisco, California, United States	US	USCA	37.7749	-122.419	277593	20170319	https://americanfreepress.net/trump-needs-to-jettison-iran-hawks-circling-white-house/
638285800	20170319	201703	2017	2017.2164	CHRCTH	CATHOLIC				CHR	CTH				JUD	CONSTITUTIONAL COURT						JUD			0	020	020	02	1	3.0	4	1	4	-0.29052876234748	2	New Mexico, United States	US	USNM	34.8375	-106.237	NM	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	20170319	http://www.thebostonpilot.com/article.asp?Source=Trending&ID=178832
638285875	20170319	201703	2017	2017.2164	COPGOVMIL	DEPUTY						COP	GOV	MIL	GBR	BRITAIN	GBR								0	013	013	01	1	0.4	6	1	6	-3.2536858159634	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	United Kingdom	UK	UK	54	-2	UK	1	United Kingdom	UK	UK	54	-2	UK	20170319	http://www.commdiginews.com/politics-2/when-a-crisis-comes-we-need-a-president-we-can-believe-in-85639/
638286151	20170319	201703	2017	2017.2164	GBR	BRITAIN	GBR								JUD	JUDGE						JUD			0	112	112	11	3	-2.0	6	1	6	-3.2536858159634	1	United Kingdom	UK	UK	54	-2	UK	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	United Kingdom	UK	UK	54	-2	UK	20170319	http://www.commdiginews.com/politics-2/when-a-crisis-comes-we-need-a-president-we-can-believe-in-85639/
638286160	20170319	201703	2017	2017.2164	GBR	UNITED KINGDOM	GBR								USAGOV	UNITED STATES	USA					GOV			1	190	190	19	4	-10.0	1	1	1	-4.89510489510489	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	52.2	0.116667	-2591658	3	Boston, Massachusetts, United States	US	USMA	42.3584	-71.0598	617565	3	Boston, Massachusetts, United States	US	USMA	42.3584	-71.0598	617565	20170319	http://www.newmilfordspectrum.com/news/us/article/Fallen-firefighter-s-body-escorted-to-medical-11011343.php
638286161	20170319	201703	2017	2017.2164	GBR	UNITED KINGDOM	GBR								USAGOV	UNITED STATES	USA					GOV			1	190	190	19	4	-10.0	1	1	1	-4.89510489510489	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	52.2	0.116667	-2591658	2	Massachusetts, United States	US	USMA	42.2373	-71.5314	MA	3	Boston, Massachusetts, United States	US	USMA	42.3584	-71.0598	617565	20170319	http://www.newmilfordspectrum.com/news/us/article/Fallen-firefighter-s-body-escorted-to-medical-11011343.php
638286270	20170319	201703	2017	2017.2164	GOV	PRESIDENT						GOV			USA	UNITED STATES	USA								0	036	036	03	1	4.0	2	2	2	-1.15943093399923	3	National Institutes Of Health, Maryland, United States	US	USMD	38.9976	-77.1019	595646	3	Capitol Hill, District of Columbia, United States	US	USDC	38.889	-77.0003	529313	1	Mexico	MX	MX	23	-102	MX	20170319	http://www.stardem.com/news/state_news/article_ff706709-380e-54b2-9714-5c3f879cb4ea.html
638286560	20170319	201703	2017	2017.2164	MEX	MEXICO	MEX								MEXREL	MEXICO	MEX								0	042	042	04	1	1.9	4	1	4	-3.38732909362005	4	Guadalupe, Nuevo LeóX, Mexico	MX	MX19	24.4458	-99.8206	6194824	4	Guadalupe, Nuevo LeóX, Mexico	MX	MX19	24.4458	-99.8206	6194824	2	Arizona, United States	US	USAZ	33.7712	-111.388	AZ	20170319	http://freerepublic.com/focus/f-religion/3535993/posts
638286563	20170319	201703	2017	2017.2164	MEXGOV	MEXICO	MEX					GOV			BUS	COMPANIES						BUS			0	020	020	02	1	3.0	8	4	8	-1.33579826003895	1	Mexico	MX	MX	23	-102	MX	3	San Diego, California, United States	US	USCA	32.7153	-117.157	1661377	3	San Diego, California, United States	US	USCA	32.7153	-117.157	1661377	20170319	http://www.daily-jeff.com/latest%20headlines/2017/03/18/trump-wants-to-build-30foothigh-wall-at-mexican-border
638286566	20170319	201703	2017	2017.2164	MEXREL	MEXICO	MEX								MEX	MEXICO	MEX								0	043	043	04	1	2.8	4	1	4	-3.38732909362005	4	Guadalupe, Nuevo LeóX, Mexico	MX	MX19	24.4458	-99.8206	6194824	4	Guadalupe, Nuevo LeóX, Mexico	MX	MX19	24.4458	-99.8206	6194824	2	Arizona, United States	US	USAZ	33.7712	-111.388	AZ	20170319	http://freerepublic.com/focus/f-religion/3535993/posts
638287032	20170319	201703	2017	2017.2164	USA	WASHINGTON	USA								CAN	CANADA	CAN								0	080	080	08	2	5.0	4	1	4	-0.022665280233815	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Armagh, Quebec, Canada	CA	CA10	46.75	-70.5833	-560287	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170319	http://www.thebostonpilot.com/article.asp?Source=Trending&ID=178832
638287035	20170319	201703	2017	2017.2164	USA	WASHINGTON	USA								CHN	BEIJING	CHN								0	100	100	10	3	-5.0	25	5	25	-2.52358360264949	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20170319	http://www.channelnewsasia.com/news/asiapacific/us-china-soften-tone-say-to-work-together-on-north-korea/3606656.html
638287036	20170319	201703	2017	2017.2164	USA	UNITED STATES	USA								CHN	CHINA	CHN								0	100	100	10	3	-5.0	10	5	10	-2.52358360264949	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170319	http://www.channelnewsasia.com/news/asiapacific/us-china-soften-tone-say-to-work-together-on-north-korea/3606656.html
638287047	20170319	201703	2017	2017.2164	USA	NEW YORK	USA								CVL	THE POOR						CVL			0	051	051	05	1	3.4	24	1	24	-0.022665280233815	2	New York, United States	US	USNY	42.1497	-74.9384	NY	1	India	IN	IN	20	77	IN	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170319	http://www.thebostonpilot.com/article.asp?Source=Trending&ID=178832
